date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01,8.4,6.7,9.8,0.1,0,203.1,27,70.2,1008.5,150
2018-01-02,6.8,5.5,8.7,0.5,0,215.7,20.9,51.8,1015.2,38
2018-01-03,9.3,6.9,13.1,2.5,0,221,31.3,90,1005.2,131
2018-01-04,9.7,5.8,13.6,9.3,0,205.5,22,51.8,1003.3,0
2018-01-05,10.2,8.3,13.1,5.3,0,198.8,17.6,51.1,1003.6,9
2018-01-06,8,4.9,10.8,1.6,0,88.7,5.4,18,1007.5,176
2018-01-07,6,2,8.8,0,0,28.3,12.2,30.2,1016,9
2018-01-08,3,0.1,7.4,0,0,29.6,5,11.9,1018.3,76
2018-01-09,5.1,0.8,9,0.1,0,182.3,7.6,32.8,1013.3,52
2018-01-10,6.5,3,9.2,0.1,0,202.8,7.6,26.3,1012.6,18
2018-01-11,4.9,1.5,7.8,0,0,334.1,4,12.6,1016.2,47
2018-01-12,3.6,0.7,5.6,0,0,43.6,6.1,19.8,1024.7,223
2018-01-13,3.5,-2.3,6.4,0,0,65.5,6.8,24.5,1023.6,47
2018-01-14,-0.7,-4.1,3.8,0,0,222,3.6,13.7,1022,441
2018-01-15,3.3,-2.5,8.6,0,0,194.3,18.4,72.4,1014.7,5
2018-01-16,7.2,4.9,9.8,6.3,0,217,22.7,85.3,1001.6,36
2018-01-17,4.2,0.5,6.6,2.7,0,239.8,23.4,60.5,1008.8,102
2018-01-18,6.6,3.5,10.3,4.3,0,203.5,29.2,76.3,1008.6,8
2018-01-19,5,2.2,7.7,1.6,0,224.9,14,56.9,1012.6,10
2018-01-20,4.7,2.6,6.5,1.8,0,197.6,18.7,49,1007.3,0
2018-01-21,4.4,2.6,5.9,0.4,0,336.7,10.4,33.5,1015.1,112
2018-01-22,8.4,2.6,10.9,18.2,0,199.8,12.6,32,1012.5,0
2018-01-23,7.4,5.4,9.1,0.4,0,212.7,10.8,31.7,1026.5,9
2018-01-24,10.9,6.8,13.7,0,0,197.9,16.9,38.2,1022.7,438
2018-01-25,11.5,9.6,13.4,0,0,183.8,14.8,43.9,1016,150
2018-01-26,7.2,5.7,11.4,15.6,0,2.4,8.3,21.6,1019,0
2018-01-27,6.3,3.8,7.2,0.3,0,5.7,6.8,19.1,1031.5,0
2018-01-28,7.3,3,9.5,0,0,197.5,13.7,37.4,1036.9,2
2018-01-29,8.1,5.2,10.7,0,0,197.9,13.3,32.8,1033.6,10
2018-01-30,8.8,7.6,10.6,0,0,200.4,10.1,28.1,1029.7,76
2018-01-31,8.2,7.1,9.4,0.9,0,192.5,24.1,54.7,1015,13
2018-02-01,4.6,1.2,7.2,4.3,0,212.4,14.4,35.6,1005.9,48
2018-02-02,3.1,1,6,0,0,197.9,15.1,34.9,1009,88
2018-02-03,2.8,-2,4.8,0,0,201.8,7.9,23.4,1008.8,16
2018-02-04,0.7,-2.2,5.3,0,0,326.7,9.7,37.1,1016.1,140
2018-02-05,0.4,-1.8,4.2,0,0,13.4,13.3,25.6,1020.2,255
2018-02-06,-0.2,-3.3,3.5,0,0,351.4,6.1,19.1,1013,216
2018-02-07,-0.5,-3.1,0.9,0,0,20.4,5,16.6,1014.1,0
2018-02-08,0.3,-1.8,3.2,0.1,0,21.4,5,16.2,1020,51
2018-02-09,2,0.6,3.8,0,0,178.3,5,19.4,1017,0
2018-02-10,2.6,1.3,4.3,0,0,212.8,9.4,26.6,1018.4,0
2018-02-11,3.3,0.7,5.8,0.3,0,196.2,19.4,49.3,1010.6,0
2018-02-12,1.1,-3.2,3.8,0.2,0,218.4,8.6,32,1017.1,15
2018-02-13,-0.1,-5.4,5.2,0,0,164.4,7.9,26.3,1015.7,551
2018-02-14,0,-5.5,5,0,0,102.4,6.5,24.5,1017,554
2018-02-15,3.3,-0.4,7.3,3,0,191.4,8.3,28.1,1017.6,0
2018-02-16,5.7,0.8,9.9,1.8,0,43.9,5.4,19.4,1025.4,248
2018-02-17,1.3,0.2,2.8,18.7,0,0.2,9.4,25.6,1021,0
2018-02-18,0.6,-1.1,2.5,0,0,24,9.7,27,1026.7,26
2018-02-19,1.6,0.4,2.7,0,0,44.2,6.1,19.8,1020.2,0
2018-02-20,0.6,-0.8,2.1,0,0,23.1,7.9,18,1017.3,0
2018-02-21,0.5,-3.5,4.1,0,0,26.5,15.1,34.6,1019.6,431
2018-02-22,-0.1,-3.5,2.6,0,0,28.3,20.5,42.1,1016.7,150
2018-02-23,0.2,-1.6,2.1,0,0,37,18.7,40,1015.9,0
2018-02-24,0.9,-3,6.3,0,0,35.4,20.9,52.9,1017.1,450
2018-02-25,-2.4,-7.2,1.6,0,0,52.1,19.1,43.2,1022.5,594
2018-02-26,-5.8,-9.4,-2.4,0,0,41.2,19.8,46.4,1022.7,524
2018-02-27,-7.4,-11.1,-4.2,0,0,28.4,14.4,34.2,1018.6,370
2018-02-28,-6,-12.7,-0.4,0,0,85.8,10.8,40.7,1015.1,519
2018-03-01,-1.9,-4.8,1.1,0.1,0,18.5,9,24.8,1003.6,6
2018-03-02,-1.2,-3.4,1.3,1.5,0,355.4,8.3,24.8,997.2,13
2018-03-03,-1.1,-2.3,0.6,1.7,10,355.6,5.8,19.8,998.4,0
2018-03-04,3.7,-3.2,8.8,1,0,1.2,6.5,32,998.8,292
2018-03-05,6.5,-0.5,13.3,0,0,58.6,8.6,27.7,995.6,587
2018-03-06,5.2,-1.3,11.5,0.3,0,224.9,6.5,25.2,992.8,329
2018-03-07,6.3,1.9,11.6,1.5,0,204.4,14.8,55.1,999.3,78
2018-03-08,8.4,4.1,13,0,0,201.6,18.4,44.6,1006.6,416
2018-03-09,10.7,4.4,16.7,0,0,173.8,11.2,31,1008.4,46
2018-03-10,12.8,9.7,14.3,1.2,0,193.4,13.3,35.6,1004.7,0
2018-03-11,10.6,6.1,15.1,1.1,0,189.3,7.2,32.8,997.9,25
2018-03-12,10.4,8.4,13.6,4.2,0,199.8,17.6,44.3,998.3,63
2018-03-13,7.9,6.3,9.1,0.1,0,208.7,21.6,56.5,1008.2,5
2018-03-14,8.7,4.3,13.3,0.2,0,90.5,7.9,38.5,1010.8,604
2018-03-15,5,0.5,8.6,0.5,0,8.4,9.4,29.2,998.7,0
2018-03-16,8.3,2.4,13.9,5.4,0,193.7,9.7,29.2,1002.3,295
2018-03-17,2.1,-2.2,5,5.3,0,13.1,17.6,40.3,999.3,0
2018-03-18,-0.9,-3.3,1.2,2.5,80,27.3,15.5,29.9,1003.1,0
2018-03-19,0.3,-1.2,2.5,0,10,15,11.5,29.2,1009.1,0
2018-03-20,0.2,-3.9,4.5,0,0,21.7,16.2,38.2,1018.1,373
2018-03-21,0.9,-4.8,6.5,0,0,18.5,13.3,39.6,1027.6,656
2018-03-22,1.2,-5,5.9,0.7,0,196.9,12.6,34.6,1021.2,79
2018-03-23,4.8,0.3,8.9,1,0,198.5,10.1,25.2,1009.5,0
2018-03-24,4.2,-2.4,12.5,0,0,357.5,8.3,29.2,1001.5,420
2018-03-25,5.8,-2,13.5,0,0,,5.4,18.7,1006.9,623
2018-03-26,6.6,-0.1,11.7,0.4,0,336.1,5.4,19.4,1014.9,90
2018-03-27,8,2.2,13.3,0.8,0,188.9,15.5,42.5,1014.4,152
2018-03-28,10,7.2,12.3,6.4,0,203.4,18,52.9,1006.5,26
2018-03-29,7.1,2.1,11.1,0,0,232.4,7.6,36,1008.6,309
2018-03-30,6.8,0.5,12.2,3.2,0,174.5,10.4,31,1002.5,292
2018-03-31,8.5,4.6,13.1,0,0,224.2,7.6,23.4,1001.1,416
2018-04-01,6.9,2.1,10.2,1.3,0,216.3,15.1,51.8,1012,23
2018-04-02,8.4,0,15.1,0,0,193.8,6.1,18,1009.9,257
2018-04-03,16.3,9.4,21.1,0,0,193.3,16.9,40.7,1004.9,407
2018-04-04,12,9.5,18.3,3.3,0,213.4,14,56.9,1005.9,137
2018-04-05,9.5,2,12.9,1.5,0,227.8,17.3,51.5,1015.9,207
2018-04-06,9.9,0,18.8,0,0,8.9,7.9,24.1,1018.2,728
2018-04-07,12.7,1.9,22,0,0,293.3,5.4,17.3,1012,725
2018-04-08,15,6,24.4,0,0,348.8,8.3,27,1006.4,539
2018-04-09,14.6,8.3,21.5,0.5,0,234.3,7.6,31.3,1004,142
2018-04-10,10.8,5.4,17.8,4.8,0,180.1,8.6,47.2,1005,161
2018-04-11,11,2.3,18.4,0,0,47.8,12.2,36.4,1004.5,631
2018-04-12,13.2,6.9,21,0,0,322.6,9.4,33.8,999.4,436
2018-04-13,10.9,6.8,15.8,4.5,0,163.2,10.1,38.9,1009.6,269
2018-04-14,12.9,4.1,19.6,0,0,237.6,7.2,24.1,1018.1,507
2018-04-15,15.2,10.6,19.7,0,0,26.2,10.1,26.6,1013.1,496
2018-04-16,15.6,10.4,20.4,0.4,0,279.7,7.6,22.3,1015.5,450
2018-04-17,15.2,6.2,22.9,0,0,27.3,6.5,22.7,1024.6,758
2018-04-18,17.3,6.9,26.3,0,0,44,10.1,36.4,1028.2,768
2018-04-19,18.6,9.4,26.3,0,0,324.6,7.2,20.9,1025.6,771
2018-04-20,18.4,9,26.6,0,0,295.5,5.4,18,1022.3,767
2018-04-21,19.1,9.3,28.6,0,0,357.3,5,17.3,1018.5,768
2018-04-22,20.4,10.8,29.7,0,0,212.4,10.1,36.4,1014.4,637
2018-04-23,16.3,14.5,19.5,8,0,189.7,11.5,36.7,1017.5,54
2018-04-24,17.1,10.6,22.9,0,0,218.4,9,24.1,1017.8,623
2018-04-25,16.5,10.2,22.4,0,0,249.8,16.2,43.6,1014.3,497
2018-04-26,12.2,5.7,16.9,3.5,0,258.2,11.9,37.1,1019.5,408
2018-04-27,13.7,3,22.8,0,0,331.1,8.3,27.7,1012,743
2018-04-28,14.2,10,19.2,1,0,304.4,8.6,31.3,1012.5,290
2018-04-29,15.2,8.4,23.3,2.9,0,19.9,9,51.1,1004.1,303
2018-04-30,14.5,10.8,19.5,0.1,0,219,28.1,61.9,1006,614
2018-05-01,10.5,6.6,14.9,0,,315.5,10.1,30.2,1014,375
2018-05-02,10.9,6.2,16.1,0,,18.5,8.3,22.7,1012.4,180
2018-05-03,13.5,9.8,17.1,0.2,,27.1,11.2,32,1014.6,5
2018-05-04,15.8,8.3,22.3,0,,18.3,20.5,45.7,1016.6,439
2018-05-05,17.4,9.4,24.9,0,,19.3,18.7,47.9,1018.4,769
2018-05-06,18.3,11.9,25.5,0,,21.6,16.6,43.2,1018.6,810
2018-05-07,18,8.6,26.8,0,,11.4,11.5,39.6,1015,827
2018-05-08,18.4,8.2,27.2,0,,11.4,8.6,37.8,1008.4,827
2018-05-09,17.4,8.4,25.5,0,,31.6,6.5,27.7,1005.9,586
2018-05-10,13.4,7.5,16.7,14.8,,187.7,10.8,38.9,1013.2,2
2018-05-11,14.3,5.5,21.3,0,,11,7.2,26.3,1017.6,824
2018-05-12,17.6,10.3,24.4,0,,326.2,6.5,18.4,1012.7,652
2018-05-13,13,10.6,18,1.9,,187.8,9.7,34.2,1011.1,0
2018-05-14,12.4,10.2,14.4,12.9,,203.3,10.1,27,1010.1,0
2018-05-15,15.4,12,20.9,1.5,,299.1,10.8,38.5,1012.1,268
2018-05-16,14,11.5,18,15,,213.4,9.4,27.7,1014.9,233
2018-05-17,14.7,11.6,17.9,5.6,,302.5,7.6,24.5,1018.3,136
2018-05-18,14.5,9.8,20.4,0,,26.1,10.1,25.9,1019.3,683
2018-05-19,14.5,7.8,20.5,0,,16.7,12.2,32.4,1019,679
2018-05-20,14.7,8.8,19.3,0,,24.5,10.4,30.6,1018,225
2018-05-21,17.1,11.2,24.2,0,,300.3,6.8,29.2,1013.1,423
2018-05-22,16.4,10.3,25.3,4.5,,172.9,7.6,32.4,1012.2,498
2018-05-23,17.5,11.7,22.6,3.3,,26.6,5.8,22,1016.5,220
2018-05-24,19,14.6,25.1,27.8,,240.4,6.8,22.7,1017.1,390
2018-05-25,19.9,12,26,0,,33.1,7.2,24.8,1017.1,861
2018-05-26,21.7,13.9,29,0,,359.8,6.1,25.6,1017.9,624
2018-05-27,22.3,16,28.2,0,,55.1,7.6,28.4,1016.6,398
2018-05-28,21.5,16.7,27.9,0,,28.3,6.8,33.8,1014.8,558
2018-05-29,20.5,16.8,25.1,0,,202.6,8.6,26.3,1014.1,405
2018-05-30,21.8,14,27.8,0.1,,344.9,9.4,34.2,1013.3,712
2018-05-31,20.5,15.8,26.6,10.8,,225.2,10.4,91.1,1014.7,469
2018-06-01,19.5,15.7,24.8,5.7,,210.2,9.7,31.3,1018.5,613
2018-06-02,19.7,13.4,24.5,0,,316.7,6.1,23.8,1018.8,765
2018-06-03,20.5,13.6,26.6,0,,21.6,10.4,28.8,1015.7,830
2018-06-04,22.1,15.6,28.5,0.1,,18.1,11.9,39.6,1009.6,712
2018-06-05,21.3,15.6,28.2,0,,183.9,7.9,38.2,1009.2,767
2018-06-06,21.3,15.9,27.1,0,,13.3,6.8,21.2,1011.3,555
2018-06-07,20.7,16.6,24.4,31.5,,241.4,7.2,28.4,1014.6,367
2018-06-08,21.2,15.6,27.4,0.9,,31.5,8.3,32,1012,541
2018-06-09,21.2,17.3,27.2,6.5,,207.7,6.1,23,1012,426
2018-06-10,22.4,16.2,28.2,0,,214.6,6.5,20.5,1011.2,596
2018-06-11,20.5,16.6,26.2,5.2,,177.5,6.8,36,1009.4,192
2018-06-12,18.3,14.6,23.2,4.7,,157.3,10.8,37.1,1009.2,59
2018-06-13,15.7,12.9,18.7,0,,17.1,15.8,36.4,1014.4,57
2018-06-14,16.4,8.8,22.3,0,,18.4,5.4,22,1016.6,633
2018-06-15,18.7,13.3,24.1,0,,28.4,8.3,27.7,1016.4,731
2018-06-16,19.9,11.8,26.7,0,,326.4,5,16.6,1015.4,629
2018-06-17,19.5,15.5,23.4,0,,350,6.8,25.9,1018.8,196
2018-06-18,19.1,12.8,24.7,0,,336.6,5.8,23.8,1022.6,626
2018-06-19,20.9,14.4,26.7,0,,338.2,7.6,24.1,1023.8,743
2018-06-20,23,14.3,30.1,0,,20.9,6.8,20.9,1019.6,899
2018-06-21,21.2,11.8,27.3,0,,323.4,13.3,42.1,1018,557
2018-06-22,13.8,8.2,19.1,0,,4,10.8,39.2,1025.9,528
2018-06-23,14.5,6,20.9,0,,16.8,10.1,31,1025.3,825
2018-06-24,16,9.2,22,0,,24.1,9,29.2,1021.4,371
2018-06-25,17.9,12.3,23,0,,24.4,11.2,37.4,1022,501
2018-06-26,18.9,9.7,25.7,0,,24.9,9.4,31.7,1022,763
2018-06-27,19.9,11,26.9,0,,26.6,14.4,48.2,1020.2,883
2018-06-28,19.5,11.6,25.9,0,,49.8,12.2,37.8,1018.1,409
2018-06-29,22.9,17.2,29.6,0,,43.7,12.2,37.1,1014.3,630
2018-06-30,23.7,14.6,31.3,0,,20.9,11.5,34.9,1011.7,893
